店名,住所,区名,評価,コメント数,保存数,営業時間,定休日,予算,個室有無,席数,駐車場有無
らーめん改,台東区蔵前4-20-10 宮内ビル 1F,台東区,3.78,1723,48957,11:00～15:00（L.O.）17:30～21:00（L.O.）,11:00～15:00（L.O.）17:30～21:00（L.O.）,"￥1,000～￥1,999",無,10席,無
はつね,杉並区西荻南3-11-9,杉並区,3.78,1304,52781,［火～土］11:00～16:00,［火～土］11:00～16:00,～￥999,無,5席,無
スパイス・ラー麺 卍力 西葛西店（マンリキ）,江戸川区西葛西3-16-5 スワームマンションⅡ 1F,江戸川区,3.78,1212,37606,[月・火・木・金]11:00～16:0017:30～21:00[土・日]11:00～21:00,[月・火・木・金]11:00～16:0017:30～21:00[土・日]11:00～21:00,～￥999,無,12席,無
RAMEN CiQUE（ラーメン チキュウ）,杉並区阿佐谷南3-10-8,杉並区,3.78,1097,33953,[火]18:30～20:00[水～日]12:00～15:0018:30～20:00,[火]18:30～20:00[水～日]12:00～15:0018:30～20:00,～￥999,無,6席,無
ラーメン巌哲（ラーメン ガンテツ）,新宿区西早稲田1-10-4,新宿区,3.78,1015,44772,[月～土］11:30～14:30 18:00～21:00,[月～土］11:30～14:30 18:00～21:00,"￥1,000～￥1,999",無,10席,無
ラーメン二郎 ひばりヶ丘駅前店（らーめんじろう）,西東京市谷戸町3-27-24 ひばりがおかプラザ　１Ｆ,西東京市,3.78,1006,18053,［月・火・木・金］11:30～14:3018:00～21:00［水］11:30～14:30［土］11:00～17:00,［月・火・木・金］11:30～14:3018:00～21:00［水］11:30～14:30［土］11:00～17:00,～￥999,無,12席,無
麺屋鈴春,文京区本郷2-26-1 福重ビル 1F,文京区,3.78,880,35281,［月・火・水］11:00～15:0018:00～20:30(L.O.）（材料切れ次第終了）［木］11:00〜15:00（材料切れ次第終了）［金・土・祝日］11:00〜16:00（材料切れ次第終了）金曜日はブタジマとしての営業となりブタジマ専用メニューのみになる（祝日の場合は【麺屋鈴春】営業です）,［月・火・水］11:00～15:0018:00～20:30(L.O.）（材料切れ次第終了）［木］11:00〜15:00（材料切れ次第終了）［金・土・祝日］11:00〜16:00（材料切れ次第終了）金曜日はブタジマとしての営業となりブタジマ専用メニューのみになる（祝日の場合は【麺屋鈴春】営業です）,"￥1,000～￥1,999",無,11席,無
函館塩ラーメン 五稜郭（ゴリョウカク）,杉並区天沼3-28-7,杉並区,3.78,850,35257,11:30～16:00（完売次第閉店）,11:30～16:00（完売次第閉店）,～￥999,無,6席,無
鴨出汁中華蕎麦 麺屋yoshiki,葛飾区東新小岩1-3-7,葛飾区,3.78,792,28253,【日～土】昼10:00～14:00夜18:00～20:00(臨時休業、臨時営業等、ＳＮＳご確認下さい。),【日～土】昼10:00～14:00夜18:00～20:00(臨時休業、臨時営業等、ＳＮＳご確認下さい。),"￥1,000～￥1,999",無,6席,無
らぁめん ご恩,中野区大和町1-13-7,中野区,3.78,303,10027,11:00～15:00※スープ売り切れ次第終了,11:00～15:00※スープ売り切れ次第終了,"￥1,000～￥1,999",無,8席,無
むぎとオリーブ 銀座本店,中央区銀座6-12-12 銀座ステラビル 1F,中央区,3.77,3459,115605,[月・火・木・金・土・日]11:00～15:30(L.O.)17:30～21:30(L.O.),[月・火・木・金・土・日]11:00～15:30(L.O.)17:30～21:30(L.O.),"￥1,000～￥1,999",無,15席,無
中華麺店 喜楽,渋谷区道玄坂2-17-6,渋谷区,3.77,3342,101677,11:30～20:30,11:30～20:30,～￥999,無,27席,無
麺屋ひょっとこ 交通会館店,千代田区有楽町2-10-1 東京交通会館 B1F,千代田区,3.77,3327,84862,[月～金]11:00～20:00[土・祝]11:00～19:00,[月～金]11:00～20:00[土・祝]11:00～19:00,～￥999,無,7席,無
新橋 纏（まとい）,港区新橋3-13-2 IKENO-5 1F,港区,3.77,2675,72150,11:00～15:0017:30～22:20[土]11:00～15:0017:30～21:20[日]11:00～15:0017:30～20:20,11:00～15:0017:30～22:20[土]11:00～15:0017:30～21:20[日]11:00～15:0017:30～20:20,～￥999,無,9席,無
ラーメン二郎 三田本店（らーめんじろう）,港区三田2-16-4,港区,3.77,2198,37508,[月〜土]8:30～15:0017:00～20:00,[月〜土]8:30～15:0017:00～20:00,～￥999,無,13席,無
麺処 ほん田 秋葉原本店,千代田区神田花岡町1-19,千代田区,3.77,2002,72303,[火・木・金・土・日]11:30～15:0018:00～21:30[月]11:30～15:00,[火・木・金・土・日]11:30～15:0018:00～21:30[月]11:30～15:00,"￥1,000～￥1,999",無,18席,無
麺屋 Hulu-lu（フルル）,豊島区池袋2-60-7,豊島区,3.77,1648,64715,[水～土・月]11:30～15:0018:00〜21:00[日・祝]11:30～15:30毎週金曜日は「つけ麺」のみ。,[水～土・月]11:30～15:0018:00〜21:00[日・祝]11:30～15:30毎週金曜日は「つけ麺」のみ。,～￥999,無,11席,無
八雲,目黒区東山3-6-15 エビヤビル 1F,目黒区,3.77,1602,67237,11:30～15:30,11:30～15:30,"￥1,000～￥1,999",無,11席,無
ラーメン大至（だいし）,文京区湯島2-1-2 佐藤ビル 1F,文京区,3.77,1490,46419,［月～金］11:00～15:0017:00～20:45(L.O.)［土］11:00～15:00,［月～金］11:00～15:0017:00～20:45(L.O.)［土］11:00～15:00,～￥999,無,12席,無
純手打ち 麺と未来,世田谷区北沢3-25-1 シャトルヒエイ1F,世田谷区,3.77,1180,54557,[月、火、水、木、金] 11:30〜14:30 17:30～21:00(L.O 20:45)[土日祝日]11:30〜17:00(売り切れ次第終了),[月、火、水、木、金] 11:30〜14:30 17:30～21:00(L.O 20:45)[土日祝日]11:30〜17:00(売り切れ次第終了),～￥999,無,7席,無
味噌麺処 花道庵（【旧店名】味噌麺処 花道）,中野区野方6-23-12,中野区,3.77,1160,43747,9:30～22:45(L.O.),9:30～22:45(L.O.),～￥999,無,14席,無
中華ソバ ビリケン（Homemade Noodles BILLIKEN）,台東区雷門2-4-1 岡安ビル 1F,台東区,3.77,1070,31117,11:00～15:00(L.O) 17:30〜21:00,11:00～15:00(L.O) 17:30〜21:00,～￥999,無,11席,無
RAMEN GOTTSU（らーめん ごっつ）,練馬区練馬1-29-16,練馬区,3.77,991,34574,[火～金]11:00～14:0018:00～20:00[土・日・祝]11:00～15:00,[火～金]11:00～14:0018:00～20:00[土・日・祝]11:00～15:00,"￥1,000～￥1,999",無,8席,無
鶏こく中華 すず喜（トリコクチュウカ スズキ）,三鷹市下連雀3-28-21 公団三鷹駅前第2アパートB 1,三鷹市,3.77,977,35587,[火～日]11:00～15:00(売り切れ次第終了),[火～日]11:00～15:00(売り切れ次第終了),～￥999,無,10席,無
鶏そば  ムタヒロ 2号店,国分寺市本町2-3-6 タリホービル 1Ｆ右,国分寺市,3.77,918,25079,【昼】 11:30～15:00(L.O)【夜】 18:00～23:00(L.O)   日曜日は21:00閉店,【昼】 11:30～15:00(L.O)【夜】 18:00～23:00(L.O)   日曜日は21:00閉店,～￥999,無,10席,無
食堂七彩（ショクドウシチサイ）,中野区鷺宮3-1-12,中野区,3.77,704,23620,[月～日・祝]11:30～15:0018:00～22:00,[月～日・祝]11:30～15:0018:00～22:00,～￥999,無,10席,無
クラム＆ボニート 貝節麺ライク（CLAM＆BONITO 貝節麺raik）,杉並区方南2-21-21,杉並区,3.77,643,21257,[月]11:30～15:0018:00～21:00[火～金]11:30～15:00 18:00～22:00 [土]11:00～15:0018:00～22:00[日・祝]11:00～15:00 18:00～21:00,[月]11:30～15:0018:00～21:00[火～金]11:30～15:00 18:00～22:00 [土]11:00～15:0018:00～22:00[日・祝]11:00～15:00 18:00～21:00,～￥999,無,10席,無
濃厚ラーメン かなや,杉並区堀ノ内1-3-13 ライオンズプラザ方南町 1-D,杉並区,3.77,452,16571,[火～土]11:30～15:00(L.O.14:45)18:00～21:00(L.O.20:30)[日]11:30～15:00(L.O.14:45)※各日材料が無くなり次第営業終了,[火～土]11:30～15:00(L.O.14:45)18:00～21:00(L.O.20:30)[日]11:30～15:00(L.O.14:45)※各日材料が無くなり次第営業終了,～￥999,無,11席,無
麺屋海神 新宿店（めんやかいじん）,新宿区新宿3-35-7 さんらくビル　２Ｆ,新宿区,3.76,3042,83036,[月～金]11:00～15:0016:30～23:30[土・祝]11:00～23:30[日・連休最終日]11:00～23:00,[月～金]11:00～15:0016:30～23:30[土・祝]11:00～23:30[日・連休最終日]11:00～23:00,～￥999,無,16席,無
四川担担麺 阿吽 湯島本店,文京区湯島3-25-11,文京区,3.76,2165,66633,［月～金］昼 11：00～14：30、夜 17：30～21：00［土］昼 11：00～15：00、夜 17：30～21：00［日、祝日］昼 11：00～15：00、夜 17：30～20：30※材料なくなり次第閉店※感染防止対策を講じ、引き続き営業時間を変更して、営業しております。(上記、変更の場合、HP等にてご案内いたします),［月～金］昼 11：00～14：30、夜 17：30～21：00［土］昼 11：00～15：00、夜 17：30～21：00［日、祝日］昼 11：00～15：00、夜 17：30～20：30※材料なくなり次第閉店※感染防止対策を講じ、引き続き営業時間を変更して、営業しております。(上記、変更の場合、HP等にてご案内いたします),～￥999,無,17席,無
中華そば 勝本（カツモト）,千代田区神田三崎町2-15-5 三崎町SSビル 1F,千代田区,3.76,1868,59719,11:00~22:00（L.O.21:45）月曜のみ11:00～21:00（L.O.20:45）※スープが無くなり次第、営業終了とさせていただきます。,11:00~22:00（L.O.21:45）月曜のみ11:00～21:00（L.O.20:45）※スープが無くなり次第、営業終了とさせていただきます。,～￥999,無,17席,無
中華そば 満鶏軒（チュウカソバ マンチーケン）,墨田区江東橋2-5-3,墨田区,3.76,1751,48235,11:00～21:00,11:00～21:00,"￥1,000～￥1,999",無,8席,無
自家製麺 伊藤,北区赤羽1-2-4,北区,3.76,1642,35036,[月～金]11:00～24:00[土]11:00～16:0017:00～23:00[日・祝]11:00～21:00,[月～金]11:00～24:00[土]11:00～16:0017:00～23:00[日・祝]11:00～21:00,～￥999,無,8席,無
麺屋 ねむ瑠,文京区本郷4-3-2,文京区,3.76,1338,34779,11:00～23:00(L.O.22:30),11:00～23:00(L.O.22:30),"￥1,000～￥1,999",無,12席,無
渡なべ,新宿区高田馬場2-1-4,新宿区,3.76,1321,39233,[月～日]11:00～20:00,[月～日]11:00～20:00,～￥999,無,8席,無
亀戸煮干中華蕎麦 つきひ（カメイドニボシチュウカソバツキヒ）,江東区亀戸5-13-2 スクエア三報104区画,江東区,3.76,866,27058,［月～金］11:30～14:3017:30～21:30［土・日・祝］11:00～15:0017:00～20:30,［月～金］11:30～14:3017:30～21:30［土・日・祝］11:00～15:0017:00～20:30,～￥999,無,7席,無
中華そば しながわ,豊島区西池袋4-19-14,豊島区,3.76,857,31004,,,～￥999,無,9席,無
麺屋 はし本,中野区新井1-25-4 中野ニューハウジング 1F,中野区,3.76,800,28646,11:30～18:00(売り切れ次第終了)[土・祝]11:30～15:00(売り切れ次第終了),11:30～18:00(売り切れ次第終了)[土・祝]11:30～15:00(売り切れ次第終了),～￥999,無,9席,無
陽はまたのぼる,足立区綾瀬2-1-4,足立区,3.76,680,23800,[月・木・金・土・日]11:30～14:3018:30～21:00,[月・木・金・土・日]11:30～14:3018:30～21:00,～￥999,無,7席,無
鴨中華そば 楓,八王子市明神町3-24-12 フィシオ京王八王子 1F,八王子市,3.76,432,9530,[月～金]11:30～14:3017:30～21:30(L.O.21:00)[土・日・祝]11:00～15:0017:30～21:30(L.O.21:00),[月～金]11:30～14:3017:30～21:30(L.O.21:00)[土・日・祝]11:00～15:0017:30～21:30(L.O.21:00),"￥1,000～￥1,999",無,18席,無
らーめん 鴨to葱,台東区上野6-4-15,台東区,3.75,2569,84905,10:00～22:30(スープが無くなり次第終了),10:00～22:30(スープが無くなり次第終了),"￥1,000～￥1,999",無,11席,無
おおぜき中華そば店,渋谷区恵比寿西1-9-4 小熊ビル 1Ｆ,渋谷区,3.75,1988,59875,[月～土]11:00～15:00 17:00～22:00[日・祝]11:00～14:00,[月～土]11:00～15:00 17:00～22:00[日・祝]11:00～14:00,～￥999,無,10席,無
春木屋 荻窪本店（はるきや）,杉並区上荻1-4-6,杉並区,3.75,1793,49283,11:00～21:00,11:00～21:00,～￥999,無,18席,無
麺巧 潮（うしお）,千代田区神田淡路町2-4-4 アール神田淡路町 B1F,千代田区,3.75,1567,46455,火〜金 11:00〜21:00土日月 11:00～19:00（スープなくなり次第終了）,火〜金 11:00〜21:00土日月 11:00～19:00（スープなくなり次第終了）,～￥999,無,13席,無
麺や 維新,品川区上大崎3-4-1 サンリオンビル １Ｆ,品川区,3.75,1312,43440,11:00〜15:0018:00〜21:30(L.O.21:10),11:00〜15:0018:00〜21:30(L.O.21:10),～￥999,無,12席,無
MENクライ（メンクライ）,港区芝1-3-4 山谷ビル 1F,港区,3.75,1192,37034,11:00～14:3018:00～20:30,11:00～14:3018:00～20:30,"￥1,000～￥1,999",無,11席,無
らぁ麺やまぐち 辣式 本店（らつしき）,江東区東陽4-6-3 栗林ビル1F,江東区,3.75,1136,32199,平日   　11:00～15:00 　17:00～22:00(LO 21:50)土日祝　11:00～22:00(LO 21:50),平日   　11:00～15:00 　17:00～22:00(LO 21:50)土日祝　11:00～22:00(LO 21:50),～￥999,無,11席,無
支那ソバ かづ屋,目黒区下目黒3-2-4,目黒区,3.75,1128,38937,11:00～21:00※売り切れで早く仕舞う事もあります,11:00～21:00※売り切れで早く仕舞う事もあります,"￥1,000～￥1,999",有,25席,有
大塚屋（【旧店名】麺処 くるり）,新宿区市谷田町3-2 TOUビル 1F,新宿区,3.75,1109,36829,[火～金]11:00～16:0018:00～21:00[土・日・祝]11:00～16:00,[火～金]11:00～16:0018:00～21:00[土・日・祝]11:00～16:00,～￥999,無,7席,無
ラーメン二郎 八王子野猿街道店 ２,八王子市堀之内2-13-16,八王子市,3.75,1004,16398,月　定休日(祝日も定休日になります)火〜金11:00〜15:00頃17:30〜21:00土11:00〜20:00頃通し営業日9:30~16:30頃材料切れの為、営業を終了する場合もあります。,月　定休日(祝日も定休日になります)火〜金11:00〜15:00頃17:30〜21:00土11:00〜20:00頃通し営業日9:30~16:30頃材料切れの為、営業を終了する場合もあります。,～￥999,有,25席,有
無銘,千代田区神田東松下町49-8,千代田区,3.75,912,29812,,,～￥999,無,6席,無
中華そば さとう,大田区羽田4-20-11,大田区,3.75,808,20065,11:00～14:0016:30～20:00(第2日曜日は11:00～14:00のみの営業),11:00～14:0016:30～20:00(第2日曜日は11:00～14:00のみの営業),～￥999,無,12席,無
塩生姜らー麺専門店 MANNISH 淡路町本店,千代田区神田司町2-2-8 マガザン神田 1F,千代田区,3.75,737,30734,[月～金]11:00～22:30[土・日・祝]11:00～21:30,[月～金]11:00～22:30[土・日・祝]11:00～21:30,"￥1,000～￥1,999",無,11席,無
支那蕎麦 澤田,新宿区新宿1-12-1,新宿区,3.75,491,17162,[月〜土]11:00～16:0017:00～21:00[日]11:00～17:00年中無休,[月〜土]11:00～16:0017:00～21:00[日]11:00～17:00年中無休,"￥1,000～￥1,999",無,10席,無
中華蕎麦 きつね,世田谷区南烏山3-3-1,世田谷区,3.75,408,16275,[月～金]11:00～19:00[土・日・祝]11:00～16:00※麺・スープ無くなり次第終了,[月～金]11:00～19:00[土・日・祝]11:00～16:00※麺・スープ無くなり次第終了,～￥999,無,9席,無
超純水採麺 天国屋,町田市鶴間3-13-13,町田市,3.75,325,9277,[月・木・金]11:00～15:00(L.O.)[火]11:00〜14:45(L.O.)[土・日]11:00～15:45(L.O.)※夜営業する場合はTwitterにて随時案内あり,[月・木・金]11:00～15:00(L.O.)[火]11:00〜14:45(L.O.)[土・日]11:00～15:45(L.O.)※夜営業する場合はTwitterにて随時案内あり,"￥1,000～￥1,999",無,13席,無
